Lat,Lon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152
47.32,7.35,0.411184211,0.950657895,0.740131579,0.325657895,0.042763158,0.220394737,0.3125,0.470394737,0.292763158,0.371710526,0.838815789,0.5625,0.878289474,0.911184211,0.351973684,0.148026316,0.253289474,0.759868421,0.167763158,0.378289474,0.200657895,0.648026316,0.319078947,0.733552632,0.0625,0.983552632,0.345394737,0.055921053,0.023026316,0.996710526,0.930921053,0.003289474,0.226973684,0.490131579,0.503289474,0.726973684,0.240131579,0.957236842,0.549342105,0.430921053,0.700657895,0.365131579,0.509868421,0.134868421,0.417763158,0.858552632,0.398026316,0.904605263,0.588815789,0.069078947,0.029605263,0.944078947,0.805921053,0.523026316,0.496710526,0.009868421,0.036184211,0.154605263,0.970394737,0.601973684,0.799342105,0.819078947,0.384868421,0.213815789,0.161184211,0.680921053,0.746710526,0.569078947,0.088815789,0.871710526,0.266447368,0.049342105,0.963815789,0.865131579,0.404605263,0.082236842,0.9375,0.628289474,0.851973684,0.654605263,0.753289474,0.286184211,0.898026316,0.891447368,0.174342105,0.6875,0.463815789,0.608552632,0.529605263,0.766447368,0.825657895,0.259868421,0.101973684,0.621710526,0.194078947,0.786184211,0.273026316,0.917763158,0.720394737,0.713815789,0.832236842,0.180921053,0.332236842,0.4375,0.424342105,0.707236842,0.391447368,0.141447368,0.121710526,0.338815789,0.444078947,0.016447368,0.128289474,0.279605263,0.674342105,0.358552632,0.773026316,0.976973684,0.075657895,0.8125,0.667763158,0.476973684,0.095394737,0.207236842,0.299342105,0.884868421,0.779605263,0.634868421,0.246710526,0.582236842,0.1875,0.115131579,0.845394737,0.575657895,0.233552632,0.924342105,0.792763158,0.108552632,0.450657895,0.990131579,0.615131579,0.661184211,0.542763158,0.595394737,0.641447368,0.483552632,0.305921053,0.555921053,0.536184211,0.694078947,0.516447368,0.457236842
46.59,7.28,0.444078947,0.9375,0.832236842,0.457236842,0.049342105,0.279605263,0.404605263,0.595394737,0.174342105,0.226973684,0.898026316,0.148026316,0.924342105,0.963815789,0.240131579,0.266447368,0.161184211,0.503289474,0.417763158,0.319078947,0.450657895,0.345394737,0.246710526,0.648026316,0.082236842,0.990131579,0.365131579,0.0625,0.029605263,0.983552632,0.950657895,0.016447368,0.253289474,0.121710526,0.838815789,0.4375,0.588815789,0.917763158,0.779605263,0.411184211,0.766447368,0.305921053,0.523026316,0.220394737,0.299342105,0.661184211,0.641447368,0.970394737,0.582236842,0.023026316,0.101973684,0.858552632,0.819078947,0.773026316,0.430921053,0.003289474,0.042763158,0.069078947,0.944078947,0.865131579,0.713815789,0.8125,0.424342105,0.213815789,0.141447368,0.542763158,0.707236842,0.674342105,0.009868421,0.904605263,0.055921053,0.134868421,0.930921053,0.891447368,0.476973684,0.088815789,0.957236842,0.799342105,0.871710526,0.490131579,0.6875,0.391447368,0.884868421,0.911184211,0.259868421,0.463815789,0.549342105,0.792763158,0.516447368,0.555921053,0.746710526,0.384868421,0.075657895,0.608552632,0.115131579,0.615131579,0.575657895,0.680921053,0.878289474,0.805921053,0.753289474,0.200657895,0.358552632,0.378289474,0.332236842,0.634868421,0.338815789,0.167763158,0.036184211,0.273026316,0.207236842,0.154605263,0.108552632,0.325657895,0.470394737,0.496710526,0.759868421,0.976973684,0.194078947,0.621710526,0.509868421,0.398026316,0.128289474,0.286184211,0.371710526,0.726973684,0.851973684,0.740131579,0.1875,0.292763158,0.233552632,0.351973684,0.536184211,0.786184211,0.180921053,0.845394737,0.733552632,0.095394737,0.483552632,0.996710526,0.720394737,0.700657895,0.5625,0.569078947,0.694078947,0.628289474,0.3125,0.825657895,0.667763158,0.654605263,0.601973684,0.529605263
47.23,8.05,0.332236842,0.950657895,0.865131579,0.351973684,0.200657895,0.213815789,0.457236842,0.516447368,0.3125,0.128289474,0.917763158,0.292763158,0.904605263,0.911184211,0.391447368,0.220394737,0.240131579,0.279605263,0.634868421,0.319078947,0.404605263,0.371710526,0.358552632,0.549342105,0.194078947,0.990131579,0.121710526,0.101973684,0.016447368,0.976973684,0.930921053,0.003289474,0.424342105,0.338815789,0.529605263,0.6875,0.325657895,0.944078947,0.759868421,0.345394737,0.878289474,0.207236842,0.463815789,0.444078947,0.154605263,0.628289474,0.523026316,0.970394737,0.621710526,0.029605263,0.411184211,0.674342105,0.8125,0.667763158,0.536184211,0.009868421,0.036184211,0.226973684,0.924342105,0.792763158,0.575657895,0.884868421,0.384868421,0.115131579,0.1875,0.509868421,0.654605263,0.595394737,0.0625,0.851973684,0.108552632,0.042763158,0.963815789,0.858552632,0.615131579,0.049342105,0.957236842,0.569078947,0.871710526,0.713815789,0.726973684,0.503289474,0.700657895,0.9375,0.161184211,0.601973684,0.542763158,0.805921053,0.167763158,0.707236842,0.766447368,0.5625,0.023026316,0.746710526,0.069078947,0.648026316,0.496710526,0.832236842,0.773026316,0.845394737,0.786184211,0.134868421,0.174342105,0.470394737,0.450657895,0.720394737,0.286184211,0.259868421,0.055921053,0.266447368,0.305921053,0.095394737,0.082236842,0.141447368,0.733552632,0.430921053,0.608552632,0.983552632,0.075657895,0.588815789,0.641447368,0.490131579,0.088815789,0.398026316,0.246710526,0.819078947,0.825657895,0.779605263,0.233552632,0.4375,0.180921053,0.378289474,0.417763158,0.753289474,0.299342105,0.891447368,0.838815789,0.148026316,0.365131579,0.996710526,0.680921053,0.476973684,0.740131579,0.582236842,0.694078947,0.661184211,0.253289474,0.799342105,0.483552632,0.555921053,0.898026316,0.273026316
47.11,8.28,0.279605263,0.957236842,0.799342105,0.246710526,0.108552632,0.240131579,0.661184211,0.365131579,0.319078947,0.253289474,0.917763158,0.167763158,0.898026316,0.970394737,0.174342105,0.299342105,0.128289474,0.273026316,0.773026316,0.286184211,0.503289474,0.154605263,0.476973684,0.595394737,0.292763158,0.996710526,0.029605263,0.082236842,0.069078947,0.976973684,0.9375,0.009868421,0.523026316,0.134868421,0.555921053,0.733552632,0.509868421,0.911184211,0.838815789,0.141447368,0.924342105,0.0625,0.654605263,0.121710526,0.358552632,0.5625,0.575657895,0.944078947,0.582236842,0.016447368,0.115131579,0.845394737,0.904605263,0.621710526,0.391447368,0.003289474,0.095394737,0.101973684,0.950657895,0.819078947,0.674342105,0.713815789,0.398026316,0.345394737,0.161184211,0.483552632,0.825657895,0.444078947,0.332236842,0.569078947,0.1875,0.075657895,0.963815789,0.832236842,0.338815789,0.351973684,0.930921053,0.615131579,0.766447368,0.851973684,0.694078947,0.516447368,0.865131579,0.891447368,0.180921053,0.753289474,0.4375,0.634868421,0.490131579,0.648026316,0.759868421,0.536184211,0.023026316,0.8125,0.036184211,0.680921053,0.424342105,0.858552632,0.740131579,0.871710526,0.496710526,0.411184211,0.148026316,0.549342105,0.384868421,0.786184211,0.207236842,0.200657895,0.042763158,0.3125,0.266447368,0.194078947,0.055921053,0.450657895,0.667763158,0.542763158,0.226973684,0.990131579,0.049342105,0.707236842,0.601973684,0.430921053,0.220394737,0.259868421,0.371710526,0.805921053,0.884868421,0.529605263,0.213815789,0.641447368,0.088815789,0.305921053,0.588815789,0.726973684,0.378289474,0.878289474,0.608552632,0.233552632,0.463815789,0.983552632,0.792763158,0.404605263,0.6875,0.628289474,0.746710526,0.417763158,0.457236842,0.779605263,0.470394737,0.700657895,0.720394737,0.325657895
46.5,6.35,0.273026316,0.9375,0.700657895,0.266447368,0.115131579,0.319078947,0.194078947,0.371710526,0.503289474,0.292763158,0.898026316,0.476973684,0.786184211,0.963815789,0.279605263,0.148026316,0.246710526,0.615131579,0.549342105,0.1875,0.536184211,0.509868421,0.233552632,0.726973684,0.088815789,0.990131579,0.240131579,0.016447368,0.121710526,0.996710526,0.851973684,0.042763158,0.463815789,0.226973684,0.845394737,0.634868421,0.4375,0.944078947,0.773026316,0.430921053,0.753289474,0.411184211,0.5625,0.253289474,0.391447368,0.799342105,0.601973684,0.930921053,0.6875,0.003289474,0.101973684,0.917763158,0.838815789,0.707236842,0.154605263,0.023026316,0.075657895,0.108552632,0.970394737,0.759868421,0.641447368,0.740131579,0.338815789,0.141447368,0.305921053,0.490131579,0.832236842,0.733552632,0.036184211,0.865131579,0.0625,0.055921053,0.976973684,0.8125,0.365131579,0.200657895,0.950657895,0.779605263,0.825657895,0.694078947,0.542763158,0.595394737,0.884868421,0.924342105,0.259868421,0.569078947,0.523026316,0.819078947,0.384868421,0.667763158,0.746710526,0.286184211,0.095394737,0.680921053,0.398026316,0.654605263,0.444078947,0.792763158,0.891447368,0.805921053,0.529605263,0.049342105,0.628289474,0.332236842,0.496710526,0.713815789,0.325657895,0.128289474,0.161184211,0.358552632,0.213815789,0.029605263,0.207236842,0.351973684,0.674342105,0.345394737,0.904605263,0.957236842,0.134868421,0.661184211,0.648026316,0.069078947,0.582236842,0.180921053,0.450657895,0.766447368,0.911184211,0.417763158,0.457236842,0.483552632,0.167763158,0.174342105,0.621710526,0.871710526,0.082236842,0.878289474,0.608552632,0.009868421,0.858552632,0.983552632,0.555921053,0.470394737,0.424342105,0.575657895,0.720394737,0.220394737,0.378289474,0.516447368,0.3125,0.588815789,0.404605263,0.299342105
46.45,6.35,0.345394737,0.9375,0.694078947,0.713815789,0.088815789,0.338815789,0.180921053,0.601973684,0.384868421,0.490131579,0.740131579,0.332236842,0.858552632,0.970394737,0.424342105,0.259868421,0.207236842,0.450657895,0.707236842,0.233552632,0.3125,0.529605263,0.279605263,0.667763158,0.069078947,0.976973684,0.654605263,0.108552632,0.036184211,0.983552632,0.891447368,0.016447368,0.273026316,0.509868421,0.779605263,0.371710526,0.628289474,0.884868421,0.746710526,0.648026316,0.266447368,0.555921053,0.483552632,0.226973684,0.417763158,0.871710526,0.286184211,0.930921053,0.542763158,0.049342105,0.167763158,0.898026316,0.582236842,0.6875,0.457236842,0.023026316,0.082236842,0.161184211,0.792763158,0.766447368,0.819078947,0.621710526,0.549342105,0.128289474,0.1875,0.496710526,0.351973684,0.878289474,0.029605263,0.845394737,0.0625,0.134868421,0.944078947,0.720394737,0.680921053,0.055921053,0.924342105,0.865131579,0.917763158,0.325657895,0.661184211,0.365131579,0.8125,0.963815789,0.634868421,0.174342105,0.470394737,0.825657895,0.411184211,0.536184211,0.674342105,0.463815789,0.121710526,0.148026316,0.305921053,0.904605263,0.213815789,0.588815789,0.851973684,0.799342105,0.733552632,0.154605263,0.430921053,0.200657895,0.569078947,0.444078947,0.4375,0.240131579,0.042763158,0.115131579,0.516447368,0.194078947,0.141447368,0.378289474,0.615131579,0.075657895,0.950657895,0.957236842,0.358552632,0.575657895,0.523026316,0.253289474,0.246710526,0.299342105,0.608552632,0.398026316,0.838815789,0.805921053,0.009868421,0.319078947,0.391447368,0.003289474,0.990131579,0.101973684,0.753289474,0.476973684,0.911184211,0.095394737,0.404605263,0.996710526,0.700657895,0.832236842,0.503289474,0.641447368,0.759868421,0.726973684,0.292763158,0.786184211,0.5625,0.595394737,0.773026316,0.220394737
47,7.56,0.371710526,0.963815789,0.555921053,0.259868421,0.069078947,0.444078947,0.338815789,0.404605263,0.319078947,0.523026316,0.838815789,0.509868421,0.799342105,0.957236842,0.266447368,0.154605263,0.398026316,0.582236842,0.569078947,0.200657895,0.5625,0.601973684,0.194078947,0.766447368,0.042763158,0.996710526,0.180921053,0.023026316,0.207236842,0.976973684,0.904605263,0.108552632,0.503289474,0.253289474,0.634868421,0.6875,0.424342105,0.944078947,0.8125,0.299342105,0.891447368,0.240131579,0.641447368,0.384868421,0.3125,0.615131579,0.746710526,0.917763158,0.694078947,0.036184211,0.121710526,0.819078947,0.924342105,0.674342105,0.1875,0.003289474,0.148026316,0.279605263,0.9375,0.930921053,0.496710526,0.753289474,0.233552632,0.141447368,0.476973684,0.542763158,0.779605263,0.648026316,0.0625,0.720394737,0.325657895,0.009868421,0.970394737,0.878289474,0.273026316,0.174342105,0.950657895,0.726973684,0.661184211,0.865131579,0.470394737,0.667763158,0.871710526,0.898026316,0.292763158,0.549342105,0.707236842,0.700657895,0.516447368,0.713815789,0.608552632,0.226973684,0.082236842,0.832236842,0.417763158,0.483552632,0.378289474,0.911184211,0.786184211,0.805921053,0.457236842,0.049342105,0.740131579,0.358552632,0.305921053,0.884868421,0.134868421,0.088815789,0.332236842,0.391447368,0.101973684,0.055921053,0.220394737,0.4375,0.628289474,0.213815789,0.529605263,0.990131579,0.016447368,0.773026316,0.575657895,0.095394737,0.536184211,0.161184211,0.351973684,0.851973684,0.845394737,0.286184211,0.490131579,0.654605263,0.128289474,0.075657895,0.733552632,0.792763158,0.246710526,0.858552632,0.411184211,0.029605263,0.825657895,0.983552632,0.680921053,0.463815789,0.167763158,0.759868421,0.595394737,0.115131579,0.621710526,0.450657895,0.588815789,0.430921053,0.365131579,0.345394737
47,6.57,0.411184211,0.898026316,0.832236842,0.194078947,0.325657895,0.167763158,0.069078947,0.457236842,0.621710526,0.207236842,0.924342105,0.141447368,0.950657895,0.917763158,0.305921053,0.266447368,0.220394737,0.391447368,0.615131579,0.161184211,0.542763158,0.180921053,0.496710526,0.319078947,0.246710526,0.983552632,0.101973684,0.213815789,0.042763158,0.996710526,0.884868421,0.029605263,0.253289474,0.529605263,0.786184211,0.536184211,0.667763158,0.9375,0.766447368,0.549342105,0.601973684,0.384868421,0.648026316,0.134868421,0.273026316,0.865131579,0.490131579,0.957236842,0.523026316,0.023026316,0.1875,0.904605263,0.779605263,0.582236842,0.424342105,0.009868421,0.108552632,0.036184211,0.944078947,0.845394737,0.516447368,0.792763158,0.3125,0.128289474,0.082236842,0.575657895,0.733552632,0.753289474,0.016447368,0.930921053,0.003289474,0.299342105,0.970394737,0.707236842,0.430921053,0.174342105,0.963815789,0.773026316,0.891447368,0.634868421,0.654605263,0.628289474,0.858552632,0.911184211,0.509868421,0.378289474,0.555921053,0.825657895,0.371710526,0.444078947,0.746710526,0.259868421,0.148026316,0.483552632,0.279605263,0.819078947,0.5625,0.680921053,0.740131579,0.838815789,0.6875,0.115131579,0.398026316,0.351973684,0.588815789,0.661184211,0.154605263,0.292763158,0.0625,0.088815789,0.332236842,0.200657895,0.049342105,0.404605263,0.365131579,0.608552632,0.878289474,0.976973684,0.095394737,0.674342105,0.470394737,0.345394737,0.417763158,0.226973684,0.595394737,0.726973684,0.805921053,0.641447368,0.055921053,0.463815789,0.338815789,0.240131579,0.503289474,0.694078947,0.233552632,0.8125,0.759868421,0.121710526,0.720394737,0.990131579,0.713815789,0.450657895,0.799342105,0.4375,0.569078947,0.871710526,0.075657895,0.700657895,0.286184211,0.476973684,0.851973684,0.358552632
46.49,6.57,0.384868421,0.924342105,0.805921053,0.601973684,0.055921053,0.299342105,0.148026316,0.740131579,0.200657895,0.1875,0.930921053,0.174342105,0.878289474,0.957236842,0.490131579,0.220394737,0.233552632,0.279605263,0.694078947,0.319078947,0.253289474,0.575657895,0.180921053,0.6875,0.036184211,0.983552632,0.457236842,0.082236842,0.016447368,0.996710526,0.9375,0.003289474,0.273026316,0.444078947,0.858552632,0.325657895,0.766447368,0.884868421,0.680921053,0.582236842,0.542763158,0.555921053,0.5625,0.134868421,0.3125,0.779605263,0.549342105,0.970394737,0.529605263,0.023026316,0.161184211,0.773026316,0.838815789,0.700657895,0.338815789,0.049342105,0.029605263,0.128289474,0.911184211,0.8125,0.746710526,0.720394737,0.476973684,0.141447368,0.108552632,0.654605263,0.417763158,0.832236842,0.009868421,0.871710526,0.101973684,0.194078947,0.944078947,0.825657895,0.628289474,0.088815789,0.963815789,0.786184211,0.917763158,0.424342105,0.667763158,0.365131579,0.891447368,0.950657895,0.516447368,0.378289474,0.430921053,0.845394737,0.391447368,0.523026316,0.851973684,0.345394737,0.121710526,0.259868421,0.358552632,0.753289474,0.404605263,0.536184211,0.904605263,0.819078947,0.661184211,0.115131579,0.371710526,0.4375,0.351973684,0.648026316,0.305921053,0.207236842,0.0625,0.095394737,0.503289474,0.154605263,0.075657895,0.398026316,0.463815789,0.286184211,0.898026316,0.976973684,0.266447368,0.496710526,0.621710526,0.167763158,0.213815789,0.226973684,0.634868421,0.608552632,0.799342105,0.707236842,0.042763158,0.450657895,0.411184211,0.240131579,0.483552632,0.713815789,0.246710526,0.726973684,0.865131579,0.069078947,0.509868421,0.990131579,0.674342105,0.759868421,0.470394737,0.588815789,0.792763158,0.595394737,0.292763158,0.733552632,0.569078947,0.641447368,0.615131579,0.332236842
46.45,7.16,0.398026316,0.957236842,0.667763158,0.299342105,0.095394737,0.358552632,0.273026316,0.4375,0.259868421,0.457236842,0.884868421,0.213815789,0.904605263,0.963815789,0.279605263,0.128289474,0.338815789,0.6875,0.463815789,0.305921053,0.404605263,0.417763158,0.233552632,0.615131579,0.042763158,0.996710526,0.141447368,0.0625,0.121710526,0.990131579,0.924342105,0.029605263,0.476973684,0.286184211,0.700657895,0.648026316,0.516447368,0.950657895,0.753289474,0.470394737,0.786184211,0.319078947,0.555921053,0.266447368,0.365131579,0.661184211,0.740131579,0.930921053,0.634868421,0.016447368,0.101973684,0.917763158,0.871710526,0.694078947,0.174342105,0.009868421,0.082236842,0.240131579,0.944078947,0.898026316,0.450657895,0.805921053,0.292763158,0.115131579,0.246710526,0.569078947,0.746710526,0.766447368,0.003289474,0.891447368,0.088815789,0.134868421,0.970394737,0.838815789,0.325657895,0.180921053,0.9375,0.832236842,0.8125,0.680921053,0.608552632,0.582236842,0.911184211,0.878289474,0.411184211,0.523026316,0.601973684,0.779605263,0.351973684,0.720394737,0.759868421,0.226973684,0.108552632,0.674342105,0.384868421,0.5625,0.529605263,0.726973684,0.851973684,0.845394737,0.496710526,0.075657895,0.503289474,0.345394737,0.424342105,0.819078947,0.207236842,0.055921053,0.154605263,0.253289474,0.371710526,0.023026316,0.391447368,0.194078947,0.654605263,0.621710526,0.595394737,0.976973684,0.049342105,0.707236842,0.641447368,0.069078947,0.549342105,0.1875,0.430921053,0.825657895,0.858552632,0.332236842,0.161184211,0.713815789,0.167763158,0.148026316,0.628289474,0.792763158,0.220394737,0.865131579,0.542763158,0.036184211,0.799342105,0.983552632,0.773026316,0.3125,0.483552632,0.588815789,0.733552632,0.200657895,0.509868421,0.536184211,0.444078947,0.575657895,0.378289474,0.490131579
47.26,7.53,0.457236842,0.957236842,0.726973684,0.161184211,0.0625,0.273026316,0.404605263,0.496710526,0.180921053,0.476973684,0.871710526,0.398026316,0.865131579,0.9375,0.371710526,0.134868421,0.259868421,0.463815789,0.516447368,0.246710526,0.365131579,0.582236842,0.286184211,0.674342105,0.049342105,0.996710526,0.141447368,0.016447368,0.069078947,0.990131579,0.904605263,0.023026316,0.3125,0.279605263,0.6875,0.740131579,0.233552632,0.970394737,0.575657895,0.417763158,0.838815789,0.240131579,0.648026316,0.220394737,0.351973684,0.641447368,0.661184211,0.917763158,0.680921053,0.075657895,0.042763158,0.898026316,0.891447368,0.536184211,0.424342105,0.003289474,0.115131579,0.174342105,0.963815789,0.792763158,0.634868421,0.766447368,0.345394737,0.154605263,0.207236842,0.667763158,0.805921053,0.509868421,0.088815789,0.878289474,0.194078947,0.128289474,0.950657895,0.884868421,0.305921053,0.095394737,0.944078947,0.773026316,0.700657895,0.8125,0.608552632,0.523026316,0.851973684,0.911184211,0.148026316,0.713815789,0.569078947,0.733552632,0.450657895,0.759868421,0.779605263,0.325657895,0.029605263,0.753289474,0.299342105,0.694078947,0.384868421,0.924342105,0.654605263,0.825657895,0.588815789,0.108552632,0.391447368,0.615131579,0.332236842,0.799342105,0.319078947,0.121710526,0.167763158,0.503289474,0.226973684,0.009868421,0.213815789,0.292763158,0.746710526,0.483552632,0.555921053,0.976973684,0.036184211,0.786184211,0.628289474,0.338815789,0.253289474,0.200657895,0.411184211,0.858552632,0.832236842,0.430921053,0.444078947,0.707236842,0.055921053,0.082236842,0.720394737,0.845394737,0.101973684,0.930921053,0.542763158,0.1875,0.529605263,0.983552632,0.549342105,0.595394737,0.4375,0.621710526,0.601973684,0.378289474,0.266447368,0.5625,0.470394737,0.490131579,0.819078947,0.358552632
47.2571,7.821,0.536184211,0.924342105,0.878289474,0.450657895,0.128289474,0.194078947,0.444078947,0.463815789,0.332236842,0.167763158,0.911184211,0.1875,0.9375,0.904605263,0.404605263,0.200657895,0.246710526,0.148026316,0.628289474,0.457236842,0.299342105,0.345394737,0.325657895,0.661184211,0.042763158,0.996710526,0.220394737,0.141447368,0.016447368,0.976973684,0.930921053,0.009868421,0.365131579,0.3125,0.674342105,0.555921053,0.509868421,0.917763158,0.825657895,0.286184211,0.838815789,0.213815789,0.424342105,0.253289474,0.292763158,0.634868421,0.582236842,0.963815789,0.621710526,0.023026316,0.351973684,0.759868421,0.786184211,0.720394737,0.496710526,0.003289474,0.101973684,0.055921053,0.970394737,0.799342105,0.588815789,0.845394737,0.417763158,0.207236842,0.161184211,0.549342105,0.516447368,0.740131579,0.029605263,0.891447368,0.088815789,0.075657895,0.950657895,0.884868421,0.523026316,0.082236842,0.957236842,0.713815789,0.871710526,0.694078947,0.601973684,0.378289474,0.858552632,0.944078947,0.174342105,0.503289474,0.490131579,0.779605263,0.371710526,0.5625,0.746710526,0.569078947,0.0625,0.654605263,0.069078947,0.667763158,0.529605263,0.766447368,0.8125,0.851973684,0.6875,0.305921053,0.273026316,0.358552632,0.398026316,0.753289474,0.226973684,0.266447368,0.036184211,0.154605263,0.338815789,0.240131579,0.049342105,0.279605263,0.680921053,0.430921053,0.615131579,0.983552632,0.121710526,0.608552632,0.641447368,0.4375,0.115131579,0.319078947,0.411184211,0.648026316,0.865131579,0.792763158,0.095394737,0.476973684,0.134868421,0.470394737,0.384868421,0.773026316,0.180921053,0.898026316,0.832236842,0.108552632,0.391447368,0.990131579,0.707236842,0.595394737,0.733552632,0.483552632,0.726973684,0.700657895,0.259868421,0.819078947,0.575657895,0.542763158,0.805921053,0.233552632